site,year,month,day,location,depth,temp,salinity,ph,secchi,lat,long,,,,,,,,,
kis1,2015,6,17,b0,0,11.8,31.1,8,3,-128.22926,51.81106,,,,,,,,,
kis1,2015,6,17,b1,1,11.9,31.1,8,3,-128.22926,51.81106,,,,,,,,,
kis1,2015,6,17,c0,0,11.9,31,8.1,3,-128.22926,51.81106,,,,,,,,,
kis1,2015,6,17,c1,1,11.9,31,8.1,3,-128.22926,51.81106,,,,,,,,,
kis1,2015,6,17,c3,3,11.9,31.1,8.1,3,-128.22926,51.81106,,,,,,,,,
kis1,2015,6,17,d0,0,12,31,8.2,3,-128.22926,51.81106,,,,,,,,,
kis1,2015,6,17,d1,1,11.9,31,8.2,3,-128.22926,51.81106,,,,,,,,,
kis1,2015,6,17,d5,5,11.7,31.1,8.1,3,-128.22926,51.81106,,,,,,,,,
kis1,2015,6,17,d10,10,11.6,31.2,8.1,3,-128.22926,51.81106,,,,,,,,,
kis10,2015,6,17,a0,0,11.9,31.2,8.1,3,-128.22237,51.81974,,,,,,,,,
kis10,2015,6,17,b0,0,11.9,31.2,8.1,3,-128.22237,51.81974,,,,,,,,,
kis10,2015,6,17,b1,1,11.9,31.2,8.1,3,-128.22237,51.81974,,,,,,,,,
kis10,2015,6,17,c0,0,11.8,31.2,8.2,3,-128.22237,51.81974,,,,,,,,,
kis10,2015,6,17,c1,1,11.8,31.2,8.2,3,-128.22237,51.81974,,,,,,,,,
kis10,2015,6,17,c3,3,11.4,31.2,8.1,3,-128.22237,51.81974,,,,,,,,,
kis10,2015,6,17,d0,0,11.8,31.1,8.2,3,-128.22237,51.81974,,,,,,,,,
kis10,2015,6,17,d1,1,11.8,31.1,8.2,3,-128.22237,51.81974,,,,,,,,,
